File name,compounds,-IS,species,sex,pop,bandID
02–1 1–2021  for F KGSK 2164 PA,84,83,FOR,F,PA,KGSK2164
20–1 1–2021  for  Sm1233 Ab,60,59,FOR,F,AB,SM1233
02 – 11– 2021  for F LF0277AB,53,52,FOR,F,AB,LF0277
02 – 11– 2021  for F SM1293 BCH,69,68,FOR,F,BCH,SM1293
02– 11 –2021  for  F SM1121 a B,71,70,FOR,F,AB,SM1121
02– 11 –2021  for  F SM1172AB,44,43,FOR,F,AB,SM1172
02– 11 –2021  for F SM1204 PA,45,44,FOR,F,PA,SM1204
02–1 1–20 21  for F SM1215AB,71,70,FOR,F,AB,SM1215
02– 11 –2021  for F SM1269AB,66,65,FOR,F,AB,SM1269
02– 11 –2021  for  F SM1292 PA,67,66,FOR,F,PA,SM1292
02– 12 –2021  FUL M SM098EG,61,60,FUL,M,EG,SM098
02– 12 –2021  for M SM1414 PA,49,48,FOR,M,PA,SM1414
02-21-2021 FUL f sm068 bch,55,54,FUL,F,BCH,SM068
02-17-2021 for f kgsk2161 pa,45,44,FOR,F,PA,KGSK2161
02-17-2021 for u sm1287 eg,76,75,FOR,U,EG,SM1287
02-23-2021 FUL f sm116 bch,44,43,FUL,F,BCH,SM116
02-23-2021 FUL m sm077 ab,25,24,FUL,M,AB,SM077
02-23-2021 FUL m sm091 BCH,54,53,FUL,M,BCH,SM091
02-23-2021 FUL m sm041 ab,56,55,FUL,M,AB,SM041
02-23-2021 FUL m noband ab,43,42,FUL,M,AB,NOBAND
02-23-2021 FUL m lfo228 eg,67,66,FUL,M,EG,LFO228
02-23-2021 FUL f sm114 bch,53,52,FUL,F,BCH,SM114
02-23-2021 FUL f sm099 eg,43,42,FUL,F,EG,SM099
02-23-2021 FUL f lf993 eg,66,65,FUL,F,EG,LF993
02-18-2021 FUL m sm095 bch,68,67,FUL,M,BCH,SM095
02-18-2021 FUL m lf933 bch,53,52,FUL,M,BCH,LF933
02-18-2021 FUL f sm101eg,66,65,FUL,F,EG,SM101
02-18-2021 FUL f sm102 eg,30,29,FUL,F,EG,SM102
02-18-2021 FUL f sm090 ab,77,76,FUL,F,AB,SM090
02-18-2021 FUL F sm071 bch,74,73,FUL,F,BCH,SM071
02-17-2021 FUL f sm069 bch,88,87,FUL,F,BCH,SM069
02-17-2021 for u sm1299 bch,46,45,FOR,U,BCH,SM1299
02-25-2021 ful f sm115  BCH,45,44,FUL,F,BCH,SM115
02-12-2021_FUL_F_KGSK113_PA,15,15,FUL,F,PA,KGSK113
02-12-2021_FUL_F_KGSK114,51,50,FUL,F,PA,KGSK114
02-12-2021_FUL_F_KGSK116,55,54,FUL,F,PA,KGSK116
02-12-2021 FUL F LF5990,55,54,FUL,F,EG,LF5990
03-05-2021 FUL M SM069 BCH,35,34,FUL,M,BCH,SM069
02-25-2021 FUL M SM085 AB,45,44,FUL,M,AB,SM085
01-29-2021 for f sm1216 eg,62,61,FOR,F,EG,SM1216
01-28-2021 FOR M JP1722 BCH,53,52,FOR,M,BCH,JP1722
01-26-2021 FOR M SM1210 EG,55,54,FOR,M,EG,SM1210
01-27-2021 FOR M SM1228 BCH,64,63,FOR,M,BCH,SM1228
01-28-2021 FOR M SM1223 BCH,67,66,FOR,M,BCH,SM1223
01-27-2021 FOR M LF0173 AB,54,53,FOR,M,AB,LF0173
01-28-2021 FOR F SM1229 PA,37,36,FOR,M,PA,SM1229
01-28-2021 FOR M SM1275 BCH,41,40,FOR,M,BCH,SM1275
01-28-2021 FOR M SM1208 EG,55,54,FOR,M,EG,SM1208
01-28-2021 FOR M LF1453 PA,43,42,FOR,M,PA,LF1435
01-27-2021 FOR M SM1186 AB,43,42,FOR,M,AB,SM1186
