File name,compounds,-IS,species,sex,pop,bandID
02–1 1–2021  for F KGSK 2164 PA,84,83,FOR,F,PA,KGSK2164
20–1 1–2021  for  Sm1233 Ab,60,59,FOR,F,AB,SM1233
02 – 11– 2021  for F LF0277AB,53,52,FOR,F,AB,LF0277
02 – 11– 2021  for F SM1293 BCH,69,68,FOR,F,BCH,SM1293
02– 11 –2021  for  F SM1121 a B,71,70,FOR,F,AB,SM1121
02– 11 –2021  for  F SM1172AB,44,43,FOR,F,AB,SM1172
02– 11 –2021  for F SM1204 PA,45,44,FOR,F,PA,SM1204
02–1 1–20 21  for F SM1215AB,71,70,FOR,F,AB,SM1215
02– 11 –2021  for F SM1269AB,66,65,FOR,F,AB,SM1269
02– 11 –2021  for  F SM1292 PA,67,66,FOR,F,PA,SM1292
02– 12 –2021  for M SM1414 PA,49,48,FOR,M,PA,SM1414
02-17-2021 for f kgsk2161 pa,45,44,FOR,F,PA,KGSK2161
02-17-2021 for u sm1287 eg,76,75,FOR,U,EG,SM1287
02-17-2021 for u sm1299 bch,46,45,FOR,U,BCH,SM1299
01-29-2021 for f sm1216 eg,62,61,FOR,F,EG,SM1216
01-28-2021 FOR M JP1722 BCH,53,52,FOR,M,BCH,JP1722
01-26-2021 FOR M SM1210 EG,55,54,FOR,M,EG,SM1210
01-27-2021 FOR M SM1228 BCH,64,63,FOR,M,BCH,SM1228
01-28-2021 FOR M SM1223 BCH,67,66,FOR,M,BCH,SM1223
01-27-2021 FOR M LF0173 AB,54,53,FOR,M,AB,LF0173
01-28-2021 FOR F SM1229 PA,37,36,FOR,M,PA,SM1229
01-28-2021 FOR M SM1275 BCH,41,40,FOR,M,BCH,SM1275
01-28-2021 FOR M SM1208 EG,55,54,FOR,M,EG,SM1208
01-28-2021 FOR M LF1453 PA,43,42,FOR,M,PA,LF1435
01-27-2021 FOR M SM1186 AB,43,42,FOR,M,AB,SM1186
