File name,compounds,-IS,species,sex,pop,bandID
02– 12 –2021  FUL M SM098EG,61,60,FUL,M,EG,SM098
02-23-2021 FUL f sm116 bch,44,43,FUL,F,BCH,SM116
02-23-2021 FUL m sm077 ab,25,24,FUL,M,AB,SM077
02-23-2021 FUL m sm091 BCH,54,53,FUL,M,BCH,SM091
02-23-2021 FUL m sm041 ab,56,55,FUL,M,AB,SM041
02-23-2021 FUL m noband ab,43,42,FUL,M,AB,NOBAND
02-23-2021 FUL m lfo228 eg,67,66,FUL,M,EG,LFO228
02-23-2021 FUL f sm114 bch,53,52,FUL,F,BCH,SM114
02-23-2021 FUL f sm099 eg,43,42,FUL,F,EG,SM099
02-23-2021 FUL f lf993 eg,66,65,FUL,F,EG,LF993
02-18-2021 FUL m sm095 bch,68,67,FUL,M,BCH,SM095
02-18-2021 FUL m lf933 bch,53,52,FUL,M,BCH,LF933
02-18-2021 FUL f sm101eg,66,65,FUL,F,EG,SM101
02-18-2021 FUL f sm102 eg,30,29,FUL,F,EG,SM102
02-18-2021 FUL f sm090 ab,77,76,FUL,F,AB,SM090
02-18-2021 FUL F sm071 bch,74,73,FUL,F,BCH,SM071
02-17-2021 FUL f sm069 bch,88,87,FUL,F,BCH,SM069
02-25-2021 ful f sm115  BCH,45,44,FUL,F,BCH,SM115
02-12-2021_FUL_F_KGSK113_PA,15,15,FUL,F,PA,KGSK113
02-12-2021_FUL_F_KGSK114,51,50,FUL,F,PA,KGSK114
02-12-2021_FUL_F_KGSK116,55,54,FUL,F,PA,KGSK116
02-12-2021 FUL F LF5990,55,54,FUL,F,EG,LF5990
03-05-2021 FUL M SM069 BCH,35,34,FUL,M,BCH,SM069
02-25-2021 FUL M SM085 AB,45,44,FUL,M,AB,SM085
02-21-2021 FUL f sm068 bch,55,54,FUL,F,BCH,SM068
